name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFMarkov1_70_5_95,70,5,95,0,0,0,0,0,0,0,2,0,0,0,0,0,0,70,1792,260,0,0,0,0,0,8,14108,213446,2162,0,0,0,0,0,809,136541,78217,143,0,0,0,0,1,412,10099,0,0,0,0,0,0,0,
AFMarkov1_70_10_15,70,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,166,97,0,0,0,0,61,2473,8021,26475,840,0,0,1359,26920,21613,312418,76017,6377,18,81,6505,590530,3977728,216958,166303,7696,20,1326,44116,1190056,7006959,1766575,12815,
AFMarkov1_70_10_70,70,10,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,166,97,0,0,0,0,8,2472,8021,26475,840,0,0,0,18,3264,312403,76017,6377,18,0,0,46,2672,34058,166284,7696,0,0,3,188,677,970,1394,
AFMarkov1_70_10_95,70,10,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,161,97,0,0,0,0,0,0,350,26446,840,0,0,0,0,0,0,3135,6363,18,0,0,0,0,0,0,325,0,0,0,0,0,0,0,
AFMarkov1_70_15_15,70,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,0,0,0,0,30,126,1111,510,71,0,0,226,6935,10894,17974,11164,206,12,24,1910,99228,1101296,107707,6842,452,5,392,14173,353781,1170339,452637,5305,
AFMarkov1_70_15_70,70,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,0,0,0,0,0,125,1111,510,71,0,0,0,0,190,17959,11164,206,12,0,0,0,26,1796,6823,452,0,0,0,0,1,11,102,
AFMarkov1_70_15_95,70,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,12,493,71,0,0,0,0,0,0,125,197,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
AFMarkov1_70_20_15,70,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,15,275,27,8,0,0,51,3237,6737,2401,2808,13,0,1,133,23698,531711,67342,905,102,0,0,94,22850,276054,204645,2874,
AFMarkov1_70_20_70,70,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,275,27,8,0,0,0,0,8,2386,2808,13,0,0,0,0,0,78,886,102,0,0,0,0,0,0,1,
AFMarkov1_70_20_95,70,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,25,8,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
