name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFReal_80_5_95,80,5,95,6,0,0,0,0,0,0,262,782,49,0,0,0,0,3355,17002,47260,34539,154,0,0,1335,60146,773838,1269993,312330,14047,5,356,15555,355039,5381059,6505252,490679,12998,144,5744,115344,1630561,2986699,2132909,329007,92,3398,64873,792331,1074242,621705,133221,
AFReal_80_10_15,80,10,15,6,0,0,0,0,0,0,262,782,49,0,0,0,0,2312,17727,47282,34539,154,0,0,5869,92232,497179,1320249,312436,14047,5,22198,338455,1729295,8779688,3929749,509375,13002,9728,527608,8218467,42555719,15111560,3481251,210053,3143,167455,4670676,76050407,83570855,15879923,651262,
AFReal_80_10_70,80,10,70,6,0,0,0,0,0,0,262,782,49,0,0,0,0,2308,17727,47282,34539,154,0,0,4180,90617,496771,1320249,312436,14047,5,1030,49993,1225691,8639595,3926962,509375,13002,296,14532,332688,5479995,10578985,3422566,209906,107,4754,112815,1767018,3118520,2069178,454082,
AFReal_80_10_95,80,10,95,6,0,0,0,0,0,0,262,782,49,0,0,0,0,1551,17002,47260,34539,154,0,0,339,15412,321103,1269993,312330,14047,5,90,3688,82709,1229268,2410822,490679,12998,29,1225,24924,349588,661064,485968,123500,9,376,7881,111195,185955,119151,29616,
AFReal_80_15_15,80,15,15,6,0,0,0,0,0,0,262,782,49,0,0,0,0,2036,17727,47282,34539,154,0,0,4555,77830,421067,1320249,312436,14047,5,12642,240055,1280311,6874132,3322337,509375,13002,4680,229634,4596964,29336081,11096816,2720398,176396,1541,75789,2018635,32630299,44823707,10883145,499759,
AFReal_80_15_70,80,15,70,6,0,0,0,0,0,0,262,782,49,0,0,0,0,2032,17727,47282,34539,154,0,0,2255,75760,420658,1320249,312436,14047,5,549,24777,616595,6681886,3319547,509375,13002,161,7689,178287,2770345,5243069,2637308,176249,58,2503,58566,929824,1658817,1049723,248109,
AFReal_80_15_95,80,15,95,6,0,0,0,0,0,0,262,782,49,0,0,0,0,950,17002,47260,34539,154,0,0,172,8057,177292,1269993,312330,14047,5,51,2076,44527,644445,1302624,490679,12998,14,639,13815,197000,367044,262002,64978,7,268,4953,62000,100901,64507,16760,
AFReal_80_20_15,80,20,15,6,0,0,0,0,0,0,262,782,49,0,0,0,0,1806,17435,47282,34539,154,0,0,4083,61643,383630,1246609,312436,14047,5,8442,187690,1145033,5336836,2951480,477434,13002,2707,139058,2921777,22409093,9967281,2091563,150541,965,47809,1216262,19510068,28397103,8302860,437999,
AFReal_80_20_70,80,20,70,6,0,0,0,0,0,0,262,782,49,0,0,0,0,1800,17435,47282,34539,154,0,0,1458,57592,383150,1246609,312436,14047,5,366,16097,391296,4981075,2948167,477434,13002,101,5139,120648,1868046,3392084,1940941,150366,31,1613,38980,612882,1120696,709692,156834,
AFReal_80_20_95,80,20,95,6,0,0,0,0,0,0,262,782,49,0,0,0,0,601,16640,47260,34539,154,0,0,112,5263,116726,1179345,312330,14047,5,31,1431,30826,442423,868185,450630,12998,8,347,8052,124689,247481,179953,41758,5,185,3298,39002,61326,41508,11023,
AFReal_80_50_15,80,50,15,6,0,0,0,0,0,0,262,782,49,0,0,0,0,1315,12033,47282,34539,154,0,0,3002,33090,270588,827156,312436,14047,5,2150,81907,863524,2814213,2049461,316569,13002,696,33721,757060,9506441,7419921,1119435,102634,232,12095,308278,4769420,7433632,3548604,325097,
AFReal_80_50_70,80,50,70,6,0,0,0,0,0,0,262,782,49,0,0,0,0,1309,12033,47282,34539,154,0,0,426,18940,269869,827156,312436,14047,5,112,5114,119349,1632180,2044226,316569,13002,31,1515,35801,574707,1059315,665024,102220,7,383,9097,153741,304077,220853,51087,
AFReal_80_50_95,80,50,95,6,0,0,0,0,0,0,262,782,49,0,0,0,0,171,7520,47260,34539,154,0,0,30,1592,35451,486775,312330,14047,5,8,350,8120,131261,287942,190056,12998,5,169,2754,34889,64800,54932,15588,3,111,2250,29417,31245,14442,2970,
AFReal_80_500_15,80,500,15,6,0,0,0,0,0,0,100,782,49,0,0,0,0,337,3167,17229,34539,154,0,0,221,8321,61363,214135,110589,14047,5,66,3150,64439,710511,441840,77368,4221,17,848,21273,344514,563996,267927,21719,6,270,7472,115158,201668,135143,25022,
AFReal_80_500_70,80,500,70,6,0,0,0,0,0,0,100,782,49,0,0,0,0,81,3084,17229,34539,154,0,0,16,640,18122,209805,110589,14047,5,7,235,4863,64375,140443,75487,4221,2,92,1961,26676,47990,28699,6659,0,0,4,1915,14398,11321,2506,
