name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABMarkov1_60_15_95,60,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_20_15,60,20,15,0,0,14,0,0,0,0,1,0,0,0,81,0,0,0,97,438,3,0,0,3,0,0,15,6536,9586,0,0,0,0,0,0,55,2442,364,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
ABMarkov1_60_20_70,60,20,70,0,0,14,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_20_95,60,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_50_15,60,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_50_70,60,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_50_95,60,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_500_15,60,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_500_70,60,500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_60_500_95,60,500,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_1_15,70,1,15,819,900,2814,37095,1080,0,0,221,9565,144851,120484,17914,22124,32,2909,3746,39269,531161,1058556,34670,1149,19861,669584,1509599,617815,292585,256879,67811,7860,336894,6909024,75086068,17565712,249006,16113,2554,132616,3076984,44902112,68737060,32722926,709040,881,47629,1268197,20495174,33024069,18381200,3336329,
ABMarkov1_70_1_70,70,1,70,819,900,2814,37095,1080,0,0,221,9565,144851,120484,17914,22124,32,39,1661,39241,531161,1058556,34670,1149,5,275,7091,117644,292098,256879,67811,1,51,1376,23786,58693,52776,16094,0,4,183,4200,11443,10410,3323,0,0,12,457,1922,1849,563,
ABMarkov1_70_1_95,70,1,95,1,98,2806,37095,1080,0,0,0,4,212,4502,17554,22124,32,0,0,7,281,1432,2288,1148,0,0,0,5,57,134,99,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_5_15,70,5,15,2,268,10,4,553,0,0,0,1,189,15573,330,1,32,889,1910,30,26,1047,7224,1,13,2234,226932,398055,517,57,91,3,189,5419,190732,1948255,162810,23,1,76,2003,32053,60910,85583,102173,0,20,797,14737,25975,14948,3138,
ABMarkov1_70_5_70,70,5,70,2,268,10,4,553,0,0,0,1,189,15573,330,1,32,0,0,1,26,1047,7224,1,0,0,0,1,25,57,91,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_5_95,70,5,95,0,0,0,4,553,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_10_15,70,10,15,0,15,10,0,14,0,0,0,0,0,562,173,0,1,24,850,29,0,0,373,1,2,74,3988,145688,492,0,0,1,36,626,7642,31121,67336,20,0,4,136,2231,3951,2598,1618,0,1,44,879,1611,986,194,
