id	e	k	m	t
0	2	7	2875251	902.0
1	2	7	2949481	907.0
2	2	7	2873124	904.0
3	2	7	3008808	924.0
4	2	7	2929050	905.0
5	2	7	2336879	824.0
6	2	7	2966048	913.0
7	2	7	2754273	884.0
8	2	7	2953800	916.0
9	2	7	2519466	857.0
10	2	7	3110013	930.0
11	2	7	3047592	916.0
12	2	7	2179287	803.0
13	2	7	2844012	900.0
14	2	7	3026963	920.0
15	2	7	2981040	907.0
16	2	7	3055648	928.0
17	2	7	2971989	917.0
18	2	7	2875874	896.0
19	2	7	3263933	943.0
20	2	7	990421	424.0
21	2	7	1191709	498.0
22	2	7	2604288	856.0
23	2	7	2816428	892.0
24	2	7	2961980	928.0
25	2	7	2984185	930.0
26	2	7	2417220	827.0
27	2	7	1183607	556.0
28	2	7	2945118	916.0
29	2	7	2695592	880.0
30	2	7	2876467	903.0
31	2	7	2451210	835.0
32	2	7	2914434	918.0
33	2	7	2536291	851.0
34	2	7	2976007	920.0
35	2	7	2755128	896.0
36	2	7	2990069	913.0
37	2	7	2773858	886.0
38	2	7	3142494	919.0
39	2	7	2819052	884.0
40	2	7	2941045	901.0
41	2	7	2998556	913.0
42	2	7	3009674	910.0
43	2	7	3084735	926.0
44	2	7	2880532	897.0
45	2	7	3097744	927.0
46	2	7	2787761	861.0
47	2	7	2945682	902.0
48	2	7	2172068	771.0
49	2	7	1293524	595.0
50	2	7	3073876	937.0
51	2	7	2269104	823.0
52	2	7	2835011	871.0
53	2	7	2719414	923.0
54	2	7	2774021	899.0
55	2	7	3307244	938.0
56	2	7	2842052	889.0
57	2	7	2860913	890.0
58	2	7	2608650	840.0
59	2	7	2826378	885.0
60	2	7	2760988	879.0
61	2	7	3058647	920.0
62	2	7	2855670	900.0
63	2	7	2958295	916.0
64	2	7	3176889	927.0
65	2	7	2989256	909.0
66	2	7	2796898	882.0
67	2	7	2940820	901.0
68	2	7	2931602	906.0
69	2	7	3108135	925.0
70	2	7	2885017	907.0
71	2	7	2800566	899.0
72	2	7	2919031	918.0
73	2	7	2919467	913.0
74	2	7	2690501	890.0
75	2	7	1927764	757.0
76	2	7	3040039	928.0
77	2	7	2687890	897.0
78	2	7	2815478	910.0
79	2	7	2984304	914.0
80	2	7	3056761	918.0
81	2	7	3135680	923.0
82	2	7	3104916	921.0
83	2	7	2812558	878.0
84	2	7	1725787	701.0
85	2	7	2928094	903.0
86	2	7	2838274	892.0
87	2	7	2971562	924.0
88	2	7	2980252	903.0
89	2	7	3277672	922.0
90	2	7	2889452	904.0
91	2	7	2761995	870.0
92	2	7	2893528	908.0
93	2	7	2590164	841.0
94	2	7	2916829	900.0
95	2	7	2091060	771.0
96	2	7	2956673	908.0
97	2	7	2848510	889.0
98	2	7	3003560	912.0
99	2	7	3087333	913.0
0	0	8	6903	4.0
1	0	8	7321	4.0
2	0	8	6856	4.0
3	0	8	7479	5.0
4	0	8	7824	5.0
5	0	8	4413	3.0
6	0	8	7880	6.0
7	0	8	6353	4.0
8	0	8	7710	5.0
9	0	8	4625	3.0
10	0	8	9975	5.0
11	0	8	9587	6.0
12	0	8	3389	4.0
13	0	8	6341	4.0
14	0	8	8514	5.0
15	0	8	8800	5.0
16	0	8	9316	5.0
17	0	8	8947	5.0
18	0	8	8066	5.0
19	0	8	12443	7.0
20	0	8	1157	1.0
21	0	8	1525	1.0
22	0	8	5504	4.0
23	0	8	7143	5.0
24	0	8	7726	7.0
25	0	8	7664	7.0
26	0	8	4743	3.0
27	0	8	1283	1.0
28	0	8	7789	4.0
29	0	8	6186	4.0
30	0	8	7646	5.0
31	0	8	5062	5.0
32	0	8	7334	7.0
33	0	8	5328	3.0
34	0	8	7593	5.0
35	0	8	5795	4.0
36	0	8	8139	5.0
37	0	8	6853	5.0
38	0	8	10702	9.0
39	0	8	7153	4.0
40	0	8	7145	5.0
41	0	8	7829	5.0
42	0	8	10750	9.0
43	0	8	9092	5.0
44	0	8	7030	5.0
45	0	8	9015	6.0
46	0	8	7692	5.0
47	0	8	8667	5.0
48	0	8	3712	4.0
49	0	8	1907	1.0
50	0	8	10333	6.0
51	0	8	3934	3.0
52	0	8	9410	5.0
53	0	8	5561	4.0
54	0	8	6256	4.0
55	0	8	14799	17.0
56	0	8	7307	5.0
57	0	8	7688	5.0
58	0	8	6577	4.0
59	0	8	7089	4.0
60	0	8	6725	4.0
61	0	8	8345	8.0
62	0	8	7478	4.0
63	0	8	7997	5.0
64	0	8	10613	6.0
65	0	8	9554	6.0
66	0	8	7117	4.0
67	0	8	8100	5.0
68	0	8	9500	6.0
69	0	8	9887	5.0
70	0	8	7841	5.0
71	0	8	6600	4.0
72	0	8	7253	5.0
73	0	8	8179	5.0
74	0	8	6115	4.0
75	0	8	2492	2.0
76	0	8	7935	5.0
77	0	8	5657	3.0
78	0	8	6766	4.0
79	0	8	7304	5.0
80	0	8	8986	6.0
81	0	8	9884	7.0
82	0	8	9684	6.0
83	0	8	7048	4.0
84	0	8	2514	2.0
85	0	8	7386	8.0
86	0	8	6765	4.0
87	0	8	7809	5.0
88	0	8	7664	5.0
89	0	8	13254	7.0
90	0	8	7653	5.0
91	0	8	6425	4.0
92	0	8	7572	5.0
93	0	8	6361	4.0
94	0	8	7704	5.0
95	0	8	3206	2.0
96	0	8	7393	5.0
97	0	8	6977	4.0
98	0	8	7787	5.0
99	0	8	9294	6.0
